Parliament,registered voters
P1,60192
P2,74859
P3,60876
P4,66777
P5,67601
P6,108217
P7,59806
P8,114838
P9,105994
P10,132500
P11,94547
P12,105001
P13,63126
P14,132444
P15,168847
P16,132099
P18,90141
P19,149371
P20,106982
P21,115450
P22,94544
P23,93248
P24,113640
P25,123183
P26,85281
P27,98782
P28,113070
P29,88825
P30,59798
P31,92335
P32,70254
P33,111650
P34,107294
P35,105952
P36,123305
P37,131756
P38,87917
P39,115559
P40,139423
P41,83081
P42,80868
P43,89447
P44,107186
P45,120819
P46,88812
P47,100062
P48,92521
P49,52803
P50,93989
P51,117134
P52,119640
P53,80264
P54,47565
P55,36950
P56,65719
P57,68502
P58,80293
P59,94253
P60,121566
P61,38686
P62,72395
P63,160558
P64,118178
P65,114654
P66,111896
P67,46985
P68,108249
P69,47915
P70,89894
P71,143657
P72,61946
P73,74761
P74,92972
P75,58183
P76,87222
P77,93873
P78,46020
P79,47124
P80,75064
P81,87051
P82,120549
P83,87597
P84,79744
P85,119443
P86,53128
P87,60537
P88,106829
P89,87058
P90,77669
P91,89131
P92,51609
P93,64382
P94,154317
P95,62194
P96,102951
P97,181539
P98,206744
P99,133494
P100,148730
P101,166902
P102,303430
P103,152861
P104,230940
P105,195148
P106,239103
P107,158090
P108,165744
P109,189369
P110,208913
P111,244712
P112,148637
P113,168039
P114,94285
P115,113863
P116,120323
P117,119652
P118,95753
P119,80747
P120,79782
P121,101828
P122,124805
P123,101184
P124,119185
P125,42881
P166,44484
P126,59561
P127,95813
P128,157244
P129,63247
P130,155896
P131,133555
P132,104450
P133,81099
P134,69174
P135,93311
P136,115998
P137,118493
P138,164140
P139,96208
P140,69360
P141,63981
P142,49846
P143,69939
P144,104577
P145,97335
P146,68925
P147,79484
P148,61041
P149,78602
P150,133910
P151,59033
P152,132342
P153,54982
P154,66275
P155,67294
P156,61291
P157,55316
P158,223301
P159,198485
P160,136368
P161,165313
P162,222437
P163,151247
P164,75212
P165,70679
P167,75724
P168,80735
P169,79885
P170,83419
P171,108370
P172,74059
P173,63173
P174,77214
P175,59942
P176,40763
P177,43248
P178,45871
P179,66517
P180,87588
P181,42045
P182,55672
P183,44727
P184,72332
P185,43916
P186,55542
P187,44773
P188,100256
P189,72169
P190,87477
P191,83970
P192,47171
P193,79540
P194,109809
P195,109710
P196,121009
P197,82229
P198,79969
P199,65273
P200,32640
P201,43072
P202,50164
P203,28995
P204,41743
P205,44531
P206,32948
P207,28290
P208,55018
P209,34850
P210,30988
P211,87356
P212,105875
P213,46964
P214,45743
P215,45210
P216,43438
P217,113599
P218,58522
P219,143229
P221,41999
P222,33655
